Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,PlayerId
Brock Burke,TEX,RP,583.52001953125,82.1,6.013147951787223,-1.393166237649027,-1.71707008102964,-1.44238988058695,1.4605217525215983,5.097227315114666,7.557749067636264,17968
Yency Almonte,LAD,RP,738.52001953125,35.1,5.921389769972198,4.2748296152472065,-7.55152579600368,-1.44238988058695,1.2023037086287633,5.097227315114666,7.299531023743429,15068
Sonny Gray,MIN,SP,212.2100067138672,119.2,-4.74820138196498,-6.623484254471259,1.04661946816859,-5.27928907410586,-15.604355242373503,21.52277268204318,6.918417439669678,12768
Michael King,NYY,RP,610.2100219726562,51,2.086531899578289,0.7468736713719476,-4.17368301365029,1.96818718031873,0.6279097376186744,5.097227315114666,6.72513705273334,19853
Giovanny Gallegos,STL,RP,302.3399963378906,59,-2.083978801482649,0.3343393926129962,-3.4571709083026,5.80508637383763,0.5982760566653709,5.097227315114666,6.6955033717800365,14986
Ryne Stanek,HOU,RP,750.4400024414062,54.2,8.3970513380225,-5.986307195175142,-4.5831185024204,2.39450931293194,0.22213495335889966,5.097227315114666,6.319362268473566,15947
Matt Moore,,RP,710.4500122070312,74,5.623090921701279,-5.802283077614707,-2.43358218637733,2.82083144554515,0.20805710325439133,5.097227315114666,6.305284418369057,1890
John Brebbia,SFG,SP/RP,999,68,-3.2624449758121985,-10.127678033098901,-5.40198947996062,2.39450931293194,-16.397603175939775,21.52277268204318,6.125169506103407,12777
Logan Webb,SFG,SP,110.76000213623047,192.1,-3.9577012638923956,-13.554222348009,5.75512758902483,-5.27928907410586,-17.036085096982415,21.52277268204318,5.4866875850607695,17995
Sam Hentges,CLE,RP,704.5499877929688,62,2.358789147274089,1.9673459372632756,-3.55952978049513,-1.44238988058695,-0.6757845765447207,5.097227315114666,5.4214427385699455,18548
Alex Vesia,LAD,RP,548.760009765625,54.1,2.929809442894546,-2.8625963939976957,-2.84301767514744,1.96818718031873,-0.8076174459318591,5.097227315114666,5.289609869182807,25007
David Robertson,NYM,RP,482.5899963378906,63.2,1.7785464059680398,-4.795124092867036,-2.63829993076238,4.52611997599799,-1.128757641663388,5.097227315114666,4.968469673451278,8241
Scott Effross,NYY,RP,999,56.2,0.7810434971729981,-1.189799633765562,-4.5831185024204,3.24715357815836,-1.7447210608546018,5.097227315114666,4.352506254260065,18384
David Bednar,PIT,RP,103.23999786376953,51.2,0.3275908841158216,-2.852095341999058,-3.86660639707271,4.52611997599799,-1.8649908789579517,5.097227315114666,4.232236436156715,19569
Brady Singer,KCR,SP,175.13999938964844,153.1,-8.219970146768361,-9.358142640055348,4.42446225052198,-5.27928907410586,-18.43293961040758,21.52277268204318,4.089833071635603,25377
Wade Miley,MIL,SP,531.5900268554688,37,-1.721820170586763,-3.695677938445118,-8.06332015696632,-5.27928907410586,-18.76010734010406,21.52277268204318,3.7626653419391256,8779
Joe Mantiply,ARI,RP,544.4500122070312,60,-0.9052805273262314,-1.7697797579626713,-4.68547737461293,4.9524421086112,-2.4080955512906255,5.097227315114666,3.6891317638240406,14857
Hector Neris,HOU,RP,623.760009765625,65.1,-6.771337698571995,0.4766396042609063,-2.84301767514744,6.65773063906405,-2.47998513039448,5.097227315114666,3.617242184720186,11804
Dillon Tate,BAL,RP,655.760009765625,73.2,-2.7545881633361056,1.1779199125838553,-4.78783624680545,3.67347571077157,-2.6910287867861316,5.097227315114666,3.4061985283285345,17796
Dylan Lee,ATL,RP,735.6900024414062,50.2,2.775585115109345,0.8410966078520657,-4.89019511899798,-1.44238988058695,-2.7159032766235267,5.097227315114666,3.3813240384911394,19996
Joe Ryan,MIN,SP,139.47999572753906,147,-12.599344587941042,-5.79261047301094,4.52682112271452,-5.27928907410586,-19.14442301234332,21.52277268204318,3.3783496696998583,21390
Blake Snell,SDP,SP,115.69000244140625,128,-8.701091134575904,-11.8974577910615,6.57399856656505,-5.27928907410586,-19.303839433178204,21.52277268204318,3.2189332488649782,13543
Camilo Doval,SFG,RP,77.0999984741211,67.2,1.0532997071752113,-7.914693440726706,-2.74065880295492,6.65773063906405,-2.94432189744236,5.097227315114666,3.152905417672306,21992
Michael Wacha,,SP,412.92999267578125,127.1,-8.039241056447896,-6.031069387944837,-0.284045870334263,-5.27928907410586,-19.633645388832846,21.52277268204318,2.8891272932103336,14078
Bryan Abreu,HOU,RP,493.2099914550781,60.1,4.56196033010814,-4.8934926356153206,-1.92178782541469,-1.01606774797374,-3.269387878895621,5.097227315114666,2.827839436219045,16609
Jorge Lopez,MIN,RP,241.41000366210938,71,1.1803229729445395,-5.846216822989526,-3.55952978049513,4.9524421086112,-3.272981521928911,5.097227315114666,2.8242457931857556,14527
Domingo Acevedo,OAK,RP,519.2100219726562,67.2,-4.3867390505497,1.0900524218342087,-4.99255399119051,4.9524421086112,-3.3367985112947958,5.097227315114666,2.7604288038198694,17092
Bryce Elder,ATL,SP,551.0999755859375,54,-2.537431414539826,-6.09517471344687,-6.11850158530831,-5.27928907410586,-20.030396787400853,21.52277268204318,2.4923758946423282,27779
Yimi Garcia,TOR,RP,724.5499877929688,61,-2.4466016320322694,-0.6957533099874241,-4.99255399119051,4.52611997599799,-3.608788957212209,5.097227315114666,2.4884383579024574,12095
Kyle Wright,ATL,SP,121.23999786376953,180.1,-9.035349290894553,-12.670575463324658,6.88107518314263,-5.27928907410586,-20.10413864518243,21.52277268204318,2.4186340368607504,19665
Robert Suarez,SDP,RP,449.8299865722656,47.2,1.9595096715025493,-0.7919099367982171,-4.68547737461293,-0.163423482747323,-3.681301122655919,5.097227315114666,2.4159261924587474,30115
Reynaldo Lopez,CHW,RP,424.5899963378906,65.1,-0.424625814559598,2.5954033366281806,-4.48075963022787,-1.44238988058695,-3.7523719887462477,5.097227315114666,2.3448553263684184,16400
Trevor Stephan,CLE,RP,576.280029296875,63.2,-0.0347998466069309,-5.324815025958855,-2.53594105856986,4.09979784338478,-3.795758087750859,5.097227315114666,2.301469227363807,19932
Rony Garcia,DET,SP/RP,999,51,-8.793545615871537,-0.3125081948116895,-6.01614271311578,-5.27928907410586,-20.40148559790486,21.52277268204318,2.121287084138323,20430
Jordan Montgomery,STL,SP,156.86000061035156,178.1,-14.112765218069846,-6.343573429806049,5.2433332280622,-5.27928907410586,-20.492294493919548,21.52277268204318,2.0304781881236345,16511
Seranthony Dominguez,PHI,RP,248.5500030517578,51,-1.5401606055716521,-2.9609628602707825,-4.68547737461293,4.9524421086112,-4.234158731844157,5.097227315114666,1.8630685832705094,19249
